id,fw_concern,less_menus,eating_freq,menu_choice,fw_today,smaller_serving,larger_serving,second_serving,new_portions,compare_fw
1,Concerned,Yes,3,Price,Rarely,Rarely,Sometimes,4,Larger,Same food waste
2,Concerned,Yes,3,Taste,Rarely,Never,Rarely,3,About the same,Same food waste
3,Concerned,Yes,2,Dietary restrictions,Rarely,Sometimes,Sometimes,1,About the same,Same food waste
4,Concerned,Yes,6,Taste,Never,Rarely,Sometimes,3,Larger,Same food waste
5,Concerned,Yes,4,Taste,Sometimes,Rarely,Sometimes,3,Larger,Increase in food waste
6,Not concerned at all,No,2,Taste,Sometimes,Rarely,Rarely,3,Larger,Increase in food waste
7,Not concerned at all,No,2,Taste,Sometimes,Rarely,Rarely,3,Larger,Increase in food waste
8,Moderately concerned,Yes,1,Taste,Never,Rarely,Never,1,About the same,Same food waste
9,Concerned,Yes,5,Taste,Often,Often,Rarely,2,Larger,Increase in food waste
10,Moderately concerned,No,5,Taste,Rarely,Never,Often,4,About the same,Decrease in food waste
11,Concerned,Yes,2,Price,Never,Sometimes,Never,4,About the same,Same food waste
12,Slightly concerned,No,3,Taste,Rarely,Never,Sometimes,3,Larger,Increase in food waste
