id,fw_concern,less_menus,eating_freq,menu_choice,fw_today,smaller_serving,larger_serving,second_serving,new_portions,compare_fw
1,Concerned,Yes,3,Price,Rarely,Rarely,Sometimes,Often,Larger,Same food waste
2,Concerned,Yes,3,Taste,Rarely,Never,Rarely,Sometimes,About the same,Same food waste
3,Concerned,Yes,2,Dietary restrictions,Rarely,Sometimes,Sometimes,Never,About the same,Same food waste
4,Concerned,Yes,6,Taste,Never,Rarely,Sometimes,Sometimes,Larger,Same food waste
5,Concerned,Yes,4,Taste,Sometimes,Rarely,Sometimes,Sometimes,Larger,Increase in food waste
6,Not concerned at all,No,2,Taste,Sometimes,Rarely,Rarely,Sometimes,Larger,Increase in food waste
7,Not concerned at all,No,2,Taste,Sometimes,Rarely,Rarely,Sometimes,Larger,Increase in food waste
8,Moderately concerned,Yes,1,Taste,Never,Rarely,Never,Never,About the same,Same food waste
9,Concerned,Yes,5,Taste,Often,Often,Rarely,Rarely,Larger,Increase in food waste
10,Moderately concerned,No,5,Taste,Rarely,Never,Often,Often,About the same,Decrease in food waste
11,Concerned,Yes,2,Price,Never,Sometimes,Never,Often,About the same,Same food waste
12,Slightly concerned,No,3,Taste,Rarely,Never,Sometimes,Sometimes,Larger,Increase in food waste
